#{"t_start": 1763588585.6588113, "env_id": "None"}
r,l,t
-993.1,19,12.490392
-994.0,17,12.490438
-946.3,134,12.494222
-980.4,46,12.496093
-993.1,19,12.497982
-986.6,31,12.499847
-989.3,25,12.510826
-993.0,18,12.526679
-954.0,101,12.531416
-986.6,31,12.548337
-968.60004,82,12.566823
-976.5,51,12.576884
-958.7,93,12.578762
-986.5,30,12.578802
-978.0,55,12.580334
-981.0,52,12.610625
-970.7,70,12.613891
-990.2,23,12.615575
-991.4,24,12.619068
-990.5,26,12.622324
-989.5,27,12.625493
-989.5,27,12.659771
-968.8,73,12.668009
-987.7,31,12.676427
-950.39996,120,12.688817
-980.5,47,12.697746
-992.4,23,12.699572
-969.5,69,12.726929
-969.7,71,12.733496
-978.5,49,12.75063
-933.89996,153,12.762094
-951.19995,117,12.762156
-990.2,23,12.763885
-979.3,46,12.765618
-971.3,65,12.785463
-993.1,19,12.796984
-972.0,61,12.798708
-982.4,44,12.805315
-987.7,31,12.814254
-982.3,43,12.834911
-977.6,51,12.836796
-981.3,44,12.838501
-940.2999,140,12.855712
-983.8,36,12.857311
-983.0,39,12.870595
-985.0,37,12.89598
-989.3,25,12.897815
-988.2,25,12.899351
-968.3,79,12.916372
-992.3,22,12.935146
-977.5,61,12.938679
-964.9,89,12.947144
-967.60004,72,12.954949
-982.8,37,12.957052
-962.4,86,12.957091
-977.0,56,12.963412
-992.1,20,12.968228
-994.0,17,12.97514
-977.7,52,12.982978
-981.3,44,12.9899
-988.4,27,12.999373
-981.2,43,13.009733
-991.3,23,13.01307
-915.7999,203,13.035993
-984.8,35,13.041223
-986.8,33,13.045008
-973.9,58,13.053766
-978.0,55,13.060055
-987.5,29,13.061872
-972.60004,67,13.06967
-993.1,19,13.078443
-988.4,27,13.115067
-980.3,45,13.118694
-968.0,76,13.128887
-957.3,101,13.134114
-977.6,51,13.140263
-989.5,27,13.174315
-970.7,70,13.17979
-964.5,85,13.181697
-954.1,113,13.202217
-982.0,40,13.209402
-980.4,46,13.212584
-959.5,101,13.232757
-993.0,18,13.238091
-983.8,36,13.239819
-991.5,25,13.243123
-977.4,49,13.262971
-959.1,97,13.28151
-944.1,123,13.285115
-987.4,28,13.290201
-984.2,40,13.309345
-982.4,44,13.309409
-965.2,81,13.313042
-974.2,61,13.31706
-995.9,14,13.317122
-986.5,30,13.340393
-994.0,17,13.347043
-942.19995,137,13.350315
-986.2,38,13.350355
-972.7,68,13.380723
-992.3,22,13.385689
-973.2,62,13.418227
-977.4,49,13.421589
-968.7,72,13.431919
-981.2,43,13.458611
-961.0,94,13.476213
-989.4,26,13.476272
-965.2,81,13.482756
-984.1,39,13.48778
-979.3,46,13.496166
-960.3,87,13.49621
-995.9,14,13.500412
-929.49994,164,13.518969
-979.5,48,13.542701
-989.4,26,13.542757
-957.1,99,13.552107
-984.2,40,13.554041
-936.39996,145,13.559453
-979.5,48,13.561486
-978.8,52,13.595712
-977.3,59,13.595782
-989.6,28,13.605466
-972.3,64,13.61236
-987.1,36,13.624287
-994.8,14,13.646419
-982.8,37,13.655766
-987.6,30,13.660339
-987.0,35,13.662035
-969.9,73,13.668371
-968.10004,77,13.674812
-971.0,73,13.676804
-972.9,70,13.680204
-975.4,62,13.696073
-995.0,16,13.705418
-992.1,20,13.708731
-985.0,37,13.721297
-945.5,126,13.732525
-976.7,53,13.745718
-974.2,61,13.753754
-990.3,24,13.760176
-988.0,34,13.763423
-982.0,40,13.769709
-977.4,60,13.771377
-991.4,24,13.78406
-987.8,32,13.816826
-978.9,53,13.82017
-954.7,108,13.821816
-983.8,36,13.84483
-963.0,92,13.846657
-988.3,26,13.858873
-975.10004,59,13.868415
-992.1,20,13.87899
-966.3,81,13.886991
-940.99994,136,13.890513
-995.0,16,13.913282
-987.0,35,13.916921
-958.2,99,13.923434
-975.5,63,13.925332
-971.2,64,13.925395
-980.8,50,13.953429
-977.5,50,13.962752
-989.5,27,13.96279
-965.9,77,13.973011
-946.49994,125,13.9778
-985.6,32,13.979252
-995.0,16,13.999173
-994.1,18,14.008335
-974.0,59,14.011584
-986.7,32,14.01501
-963.9,79,14.02154
-975.7,65,14.031187
-980.4,46,14.037324
-993.2,20,14.064243
-983.0,39,14.073485
-990.3,24,14.079057
-977.5,50,14.095021
-965.10004,80,14.109941
-977.9,54,14.111631
-974.4,63,14.119385
-984.9,36,14.124522
-986.8,33,14.127623
