Iteration,return_max,return_mean,return_min,return_std
138697,101000,101000,101000,0.452
138924,101000,101000,101000,0.693
139151,101000,101000,101000,0.412
139378,101000,101000,101000,0.0378
139605,101000,101000,101000,0.719
139832,101000,101000,101000,0.711
140059,101000,101000,101000,0.425
140286,101000,101000,101000,0.44
140513,101000,101000,101000,0.716
140740,101000,101000,101000,0.695
140967,101000,101000,101000,0.953
141194,101000,101000,101000,0.727
141421,101000,101000,101000,0.351
141648,101000,101000,101000,0.365
141875,101000,101000,101000,0.69
142102,101000,101000,101000,1.19
142329,101000,101000,101000,0.39
142556,101000,101000,101000,0.706
142783,101000,101000,101000,0.417
143010,101000,101000,101000,0.417
143237,101000,101000,101000,0.96
143464,101000,101000,101000,0.392
143691,101000,101000,101000,0.49
143918,101000,101000,101000,0.693
144145,101000,101000,101000,0.807
144372,101000,101000,101000,0.484
144599,101000,101000,101000,1.09
144826,101000,101000,101000,0.458
145053,101000,101000,101000,0.916
145280,101000,101000,101000,0.605
145507,101000,101000,101000,0.342
145734,101000,101000,101000,0.0498
145961,101000,101000,101000,0.458
146188,101000,101000,101000,0.688
146415,101000,101000,101000,0.383
146642,101000,101000,101000,0.382
146869,101000,101000,101000,0.42
147096,101000,101000,101000,0.475
147323,101000,101000,101000,0.475
147550,101000,101000,101000,0.345
147777,101000,101000,101000,0.435
148004,101000,101000,101000,0.351
148231,101000,101000,101000,0.342
148458,101000,101000,101000,0.372
148685,101000,101000,101000,0.44
148912,101000,101000,101000,0.453
149139,101000,80800,36.1,40400
149366,101000,101000,101000,0.382
149593,101000,101000,101000,0.382
149820,101000,101000,101000,0.716
150047,101000,101000,101000,0.421
150274,101000,101000,101000,0.0813
150501,101000,101000,101000,0.49
150728,101000,101000,101000,0.671
150955,101000,101000,101000,0.57
151182,101000,101000,101000,0.0501
151409,101000,101000,101000,0.0421
151636,101000,101000,101000,0.398
151863,101000,101000,101000,0.458
152090,101000,101000,101000,0.475
152317,101000,101000,101000,0.471
152544,101000,101000,101000,0.931
152771,101000,101000,101000,0.382
152998,101000,101000,101000,0.679
153225,101000,101000,101000,0.737
153452,101000,101000,101000,0.392
153679,101000,101000,101000,0.688
153906,101000,101000,101000,0.382
154133,101000,101000,101000,0.351
154360,101000,101000,101000,0.695
154587,101000,101000,101000,0.186
154814,101000,101000,101000,0.466
155041,101000,101000,101000,0.73
155268,101000,101000,101000,0.663
155495,101000,101000,101000,0.466
155722,101000,101000,101000,0.679
155949,101000,101000,101000,0.461
156176,101000,101000,101000,0.392
156403,101000,101000,101000,0.735
156630,101000,101000,101000,0.701
156857,101000,101000,101000,0.705
157084,101000,101000,101000,0.392
157311,101000,101000,101000,0.359
157538,101000,101000,101000,0.355
157765,101000,101000,101000,0.475
157992,101000,101000,101000,0.351
158219,101000,101000,101000,0.926
158446,101000,101000,101000,0.392
158673,101000,101000,101000,0.451
158900,101000,80800,25.5,40400
159127,101000,101000,101000,0.69
159354,101000,101000,101000,0.475
159581,101000,101000,101000,0.382
159808,101000,101000,101000,0.0409
160035,101000,101000,101000,0.945
160262,101000,101000,101000,1.22
160489,101000,101000,101000,0.372
160716,101000,101000,101000,0.435
160943,101000,101000,101000,1.5
161170,101000,101000,101000,0.5
161397,101000,101000,101000,0.49
161624,101000,101000,101000,0.435
161851,101000,101000,101000,0.602
162078,101000,101000,101000,0.425
162305,101000,101000,101000,0.708
162532,101000,101000,101000,0.475
162759,101000,101000,101000,0.716
162986,101000,101000,101000,0.475
163213,101000,101000,101000,0.714
163440,101000,101000,101000,0.0409
163667,101000,101000,101000,0.764
163894,101000,101000,101000,0.0501
164121,101000,101000,101000,0.475
164348,101000,101000,101000,0.0409
164575,101000,101000,101000,0.475
164802,101000,101000,101000,0.683
165029,101000,101000,101000,0.711
165256,101000,101000,101000,0.466
165483,101000,101000,101000,0.602
165710,101000,80800,22,40400
165937,101000,101000,101000,0.479
166164,101000,101000,101000,0.392
166391,101000,101000,101000,0.334
166618,101000,101000,101000,1.2
166845,101000,101000,101000,0.705
167072,101000,101000,101000,0.901
167299,101000,101000,101000,0.392
167526,101000,101000,101000,0.49
167753,101000,101000,101000,0.382
167980,101000,101000,101000,0.57
168207,101000,101000,101000,0.0498
168434,101000,101000,101000,0.892
168661,101000,101000,101000,0.539
168888,101000,101000,101000,0.476
169115,101000,101000,101000,0.382
169342,101000,80800,-42.9,40400
169569,101000,101000,101000,0.0409
169796,101000,101000,101000,0.392
170023,101000,101000,101000,0.705
170250,101000,101000,101000,0.392
170477,101000,101000,101000,0.374
170704,101000,101000,101000,0.475
170931,101000,101000,101000,0.49
171158,101000,101000,101000,0.953
171385,101000,101000,101000,0.74
171612,101000,101000,101000,0.372
171839,101000,101000,101000,0.475
172066,101000,101000,101000,0.0407
172293,101000,80800,-302,40500
172520,101000,101000,101000,0.729
172747,101000,101000,101000,0.0498
172974,101000,101000,101000,0.382
173201,101000,101000,101000,0.57
173428,101000,101000,101000,0.342
173655,101000,101000,101000,0.382
173882,101000,80800,-302,40500
174109,101000,101000,101000,0.64
174336,101000,101000,101000,0.392
174563,101000,101000,101000,0.435
174790,101000,101000,101000,0.541
175017,101000,101000,101000,0.49
175244,101000,101000,101000,0.384
175471,101000,80800,27.7,40400
175698,101000,101000,101000,0.466
175925,101000,101000,101000,0.392
176152,101000,101000,101000,0.435
176379,101000,101000,101000,0.49
176606,101000,101000,101000,0.359
176833,101000,101000,101000,0.0498
177060,101000,101000,101000,0.0409
177287,101000,101000,101000,0.342
177514,101000,101000,101000,0.414
177741,101000,101000,101000,0.705
177968,101000,101000,101000,0.49
178195,101000,80800,-355,40600
178422,101000,101000,101000,0.948
178649,101000,101000,101000,0.49
178876,101000,101000,101000,0.475
179103,101000,101000,101000,0.392
179330,101000,101000,101000,0.382
179557,101000,101000,101000,0.541
179784,101000,101000,101000,0.372
180011,101000,101000,101000,0.601
180238,101000,101000,101000,0.49
180465,101000,101000,101000,0.695
180692,101000,101000,101000,0.697
180919,101000,101000,101000,0.0409
181146,101000,101000,101000,0.602
181373,101000,101000,101000,0.75
181600,101000,101000,101000,0.484
181827,101000,101000,101000,0.471
182054,101000,101000,101000,0.415
182281,101000,101000,101000,0.392
182508,101000,101000,101000,0.383
182735,101000,101000,101000,0.455
182962,101000,101000,101000,0.425
183189,101000,101000,101000,0.359
183416,101000,101000,101000,0.756
183643,101000,101000,101000,0.466
183870,101000,101000,101000,0.49
184097,101000,101000,101000,0.466
184324,101000,101000,101000,0.435
184551,101000,101000,101000,0.392
184778,101000,101000,101000,0.0498
185005,101000,101000,101000,0.0498
185232,101000,101000,101000,0.409
185459,101000,101000,101000,0.493
185686,101000,101000,101000,0.466
185913,101000,101000,101000,0.49
186140,101000,101000,101000,0.425
186367,101000,101000,101000,0.411
186594,101000,101000,101000,0.466
186821,101000,101000,101000,0.392
187048,101000,101000,101000,0.392
187275,101000,101000,101000,0.392
187502,101000,101000,101000,0.4
187729,101000,101000,101000,0.475
187956,101000,101000,101000,0.425
188183,101000,101000,101000,0.44
188410,101000,101000,101000,0.466
188637,101000,101000,101000,0.372
188864,101000,101000,101000,0.382
189091,101000,101000,101000,0.458
189318,101000,101000,101000,0.342
189545,101000,101000,101000,0.4
189772,101000,101000,101000,0.48
189999,101000,101000,101000,0.458
190226,101000,101000,101000,0.0786
190453,101000,101000,101000,0.722
190680,101000,101000,101000,0.475
190907,101000,101000,101000,0.392
191134,101000,101000,101000,0.0498
191361,101000,101000,101000,0.392
191588,101000,101000,101000,0.695
191815,101000,101000,101000,0.601
192042,101000,101000,101000,0.392
192269,101000,101000,101000,0.458
192496,101000,101000,101000,0.475
192723,101000,101000,101000,0.0407
192950,101000,101000,101000,0.435
193177,101000,101000,101000,0.451
193404,101000,80800,-358,40600
193631,101000,101000,101000,0.351
193858,101000,101000,101000,0.372
194085,101000,101000,101000,0.4
194312,101000,101000,101000,0.475
194539,101000,101000,101000,0.451
194766,101000,101000,101000,0.0498
194993,101000,101000,101000,0.342
195220,101000,101000,101000,0.376
195447,101000,101000,101000,0.372
195674,101000,101000,101000,0.0407
195901,101000,101000,101000,0.602
196128,101000,101000,101000,0.475
196355,101000,101000,101000,0.475
196582,101000,101000,101000,0.711
196809,101000,101000,101000,0.602
197036,101000,101000,101000,0.382
197263,101000,101000,101000,0.0501
197490,101000,101000,101000,0.808
197717,101000,101000,101000,0.573
197944,101000,101000,101000,0.568
198171,101000,101000,101000,0.464
198398,101000,101000,101000,0.4
198625,101000,101000,101000,0.484
198852,101000,101000,101000,0.4
199079,101000,101000,101000,0.372
199306,101000,101000,101000,0.49
