#{"t_start": 1763608715.374144, "env_id": "None"}
r,l,t
-913.1999,221,23.199955
-945.89996,130,23.236509
-983.5,44,23.240653
-940.19995,139,23.275003
-963.3,84,23.279528
-975.2,60,23.321181
-987.4,28,23.330599
-945.49994,126,23.336657
-919.49994,185,23.352559
-918.7999,200,23.371605
-973.9,69,23.37391
-977.10004,68,23.375927
-988.7,30,23.380236
-950.0,116,23.40668
-924.0999,176,23.434369
-971.4,66,23.454826
-971.5,67,23.494222
-965.4,83,23.502775
-969.10004,76,23.514466
-973.60004,66,23.521808
-980.8,61,23.540689
-985.6,32,23.569329
-975.2,60,23.605698
-931.99994,167,23.63258
-979.10004,55,23.634887
-947.8,127,23.673291
-960.0,95,23.68638
-949.6,112,23.6883
-966.4,82,23.746227
-953.6,108,23.755478
-875.29987,282,23.779301
-903.8999,238,23.784223
-962.3,96,23.795892
-966.7,74,23.797649
-981.2,43,23.852555
-961.6,100,23.856369
-944.49994,138,23.869712
-871.59985,300,23.893009
-975.60004,64,23.893065
-962.5,87,23.902271
-974.5,64,23.905489
-988.6,29,23.90553
-987.8,32,23.949209
-962.8,90,23.953157
-978.8,52,23.983797
-981.6,47,23.987499
-990.2,23,23.992825
-920.7999,198,24.025329
-967.3,80,24.045362
-988.7,30,24.076147
-980.10004,54,24.077933
-950.89996,114,24.099822
-993.0,18,24.107794
-979.3,46,24.122103
-965.0,79,24.127316
-886.29987,260,24.192103
-945.6,127,24.205439
-915.3999,199,24.211844
-977.60004,62,24.213899
-930.99994,168,24.238494
-995.9,14,24.238544
-978.3,58,24.290442
-978.8,52,24.293874
-946.0,120,24.304513
-971.9,71,24.33246
-971.0,73,24.361295
-942.7999,143,24.366592
-982.5,45,24.366658
-984.0,49,24.387087
-863.4999,329,24.416732
-912.9999,208,24.430659
-974.3,62,24.440239
-923.7999,184,24.443831
-960.5,89,24.447539
-986.7,32,24.501484
-964.7,87,24.519798
-980.10004,54,24.526871
-929.2999,173,24.536939
-971.7,69,24.538822
-952.1,115,24.562255
-993.3,21,24.56231
-969.9,73,24.574741
-953.89996,111,24.581605
-987.4,28,24.585595
-963.7,88,24.593998
